ticker,date,close,strike,expiry,expiry_close,dte,otm_pct,expired_worthless,itm_pct,hv_20,est_premium,premium_pct,annual_yield,score,gates_fail,passes_threshold,rsi_14,change_pct,bb_pct_b,bb_position,fib_near_resistance,fib_near_support,fib_broke_below,gap_flag,contrib_rsi,contrib_change_pct,contrib_bb,contrib_fib_res,contrib_fib_sup,contrib_fib_broke,contrib_gap,contrib_otm
AAPL,2025-12-17,271.84,277.5,2025-12-19,273.67,2,2.08,1,0,,,,,2,1,0,51.85,-1.009,0.233,0,0,1,0,0,1.8,0,2.301,0,-5,0,0,1.248
AAPL,2025-12-18,272.19,280,2025-12-19,273.67,1,2.87,1,0,15.2,0,,,12,1,0,52.46,0.129,0.227,0,0,1,0,1,1.8,0,2.319,0,-5,0,2,1.722
AAPL,2025-12-19,273.67,280,2025-12-22,270.97,3,2.31,1,0,14.8,0.07,0.03,3.11,6,0,0,55.05,0.544,0.252,0,0,1,0,0,1.8,0.907,2.244,0,-5,0,0,1.386
AAPL,2025-12-22,270.97,277.5,2025-12-24,273.81,2,2.41,1,0,13.7,0,,,5,1,0,49.73,-0.987,0.085,0,0,1,0,0,1.8,0,2.745,0,-5,0,0,1.446
AAPL,2025-12-23,272.36,280,2025-12-24,273.81,1,2.81,1,0,12.5,0,,,8,0,0,52.28,0.513,0.196,0,0,1,0,0,1.8,0.855,2.412,0,-5,0,0,1.686
AAPL,2025-12-24,273.81,280,2025-12-26,273.4,2,2.26,1,0,12.6,0,,,5,0,0,54.86,0.532,0.298,0,0,1,0,0,1.8,0.887,2.106,0,-5,0,0,1.356
AAPL,2025-12-26,273.4,280,2025-12-29,273.76,3,2.41,1,0,12.5,0.01,0,0.45,2,1,0,53.97,-0.15,0.29,0,0,1,0,0,1.8,0,2.13,0,-5,0,0,1.446
AAPL,2025-12-29,273.76,280,2025-12-31,271.86,2,2.28,1,0,12.4,0,,,1,1,0,54.67,0.132,0.328,0,0,1,0,0,1.8,0,2.016,0,-5,0,0,1.368
AAPL,2025-12-30,273.08,280,2025-12-31,271.86,1,2.53,1,0,10.8,0,,,2,1,0,53.04,-0.248,0.308,0,0,1,0,0,1.8,0,2.076,0,-5,0,0,1.518
AAPL,2025-12-31,271.86,277.5,2026-01-02,271.01,2,2.07,1,0,9.8,0,,,2,1,0,50.16,-0.447,0.237,0,0,1,0,0,1.8,0,2.289,0,-5,0,0,1.242
AAPL,2026-01-02,271.01,277.5,2026-01-05,267.26,3,2.39,1,0,9.6,0,,,3,1,0,48.19,-0.313,0.176,0,0,1,0,0,1.8,0,2.472,0,-5,0,0,1.434
AAPL,2026-01-05,267.26,275,2026-01-07,260.33,2,2.9,1,0,9.9,0,,,22,1,0,40.63,-1.384,-0.065,-1,0,1,1,0,1.8,0,3.195,0,-5,4,0,1.74
AAPL,2026-01-06,262.36,270,2026-01-07,260.33,1,2.91,1,0,11.3,0,,,38,1,0,33.28,-1.833,-0.22,-1,0,0,0,0,1.008,0,3.66,0,0,0,0,1.746
AAPL,2026-01-07,260.33,267.5,2026-01-09,259.37,2,2.75,1,0,11.5,0,,,38,1,0,30.8,-0.774,-0.159,-1,0,0,0,0,1.38,0,3.477,0,0,0,0,1.65
AAPL,2026-01-08,259.04,265,2026-01-09,259.37,1,2.3,1,0,11.5,0,,,14,1,0,29.3,-0.496,-0.089,-1,0,1,0,1,1.605,0,3.267,0,-5,0,2,1.38
AAPL,2026-01-09,259.37,265,2026-01-12,260.25,3,2.17,1,0,11.1,0.01,0,0.47,3,1,0,30.23,0.127,0.005,-1,0,1,0,0,1.466,0,2.985,0,-5,0,0,1.302
AAPL,2026-01-12,260.25,267.5,2026-01-14,259.96,2,2.79,1,0,11.4,0,,,2,1,0,32.78,0.339,0.094,0,0,1,0,0,1.083,0,2.718,0,-5,0,0,1.674
